# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"10_l80aK6UQ","[""VID_20231111_105305.mp4""]",0.38,1.92,"{""TEMPORAL-SEGMENTS"":""0""}"
"10_CDTwBZGH","[""VID_20231111_105305.mp4""]",1.92,2.438,"{""TEMPORAL-SEGMENTS"":""1""}"
"11_JLIX5OLu","[""VID_20231111_105337.mp4""]",0,1.66,"{""TEMPORAL-SEGMENTS"":""0""}"
"11_8psiimkc","[""VID_20231111_105337.mp4""]",1.66,1.92,"{""TEMPORAL-SEGMENTS"":""1""}"
"12_10XWFzB8","[""VID_20231111_105421.mp4""]",0.005,0.825,"{""TEMPORAL-SEGMENTS"":""1""}"
"12_bR2ZEgMS","[""VID_20231111_105421.mp4""]",0.825,2.245,"{""TEMPORAL-SEGMENTS"":""0""}"
"12_svqXLxE9","[""VID_20231111_105421.mp4""]",2.245,2.837,"{""TEMPORAL-SEGMENTS"":""1""}"
"13_yMYOhKVw","[""VID_20231111_105604.mp4""]",0,0.56,"{""TEMPORAL-SEGMENTS"":""1""}"
"13_aXsD1w75","[""VID_20231111_105604.mp4""]",0.56,1.46,"{""TEMPORAL-SEGMENTS"":""0""}"
"13_AHjoT5U4","[""VID_20231111_105604.mp4""]",1.46,1.948,"{""TEMPORAL-SEGMENTS"":""1""}"
"27_7mYlkhXo","[""VID_20231111_110212.mp4""]",0,0.18,"{""TEMPORAL-SEGMENTS"":""1""}"
"27_uFa6XbcY","[""VID_20231111_110212.mp4""]",0.18,1.66,"{""TEMPORAL-SEGMENTS"":""0""}"
"27_e1P35HFi","[""VID_20231111_110212.mp4""]",1.66,1.92,"{""TEMPORAL-SEGMENTS"":""1""}"
"28_LGU3Dl6s","[""VID_20231111_110221.mp4""]",0,1.5,"{""TEMPORAL-SEGMENTS"":""0""}"
"29_ZKWitADD","[""VID_20231111_110226.mp4""]",0,1.46,"{""TEMPORAL-SEGMENTS"":""0""}"
"31_hAj7n5Qc","[""VID_20231111_110707.mp4""]",0,1.24,"{""TEMPORAL-SEGMENTS"":""0""}"
"32_4tXgtjsL","[""VID_20231111_110712.mp4""]",0,0.96,"{""TEMPORAL-SEGMENTS"":""0""}"
"32_PQtkUZk9","[""VID_20231111_110712.mp4""]",0.96,1.156,"{""TEMPORAL-SEGMENTS"":""1""}"
"33_oX4WDUrM","[""VID_20231111_110716.mp4""]",0,0.988,"{""TEMPORAL-SEGMENTS"":""0""}"
"34_nG0tVgxu","[""VID_20231111_110721.mp4""]",0,1.06,"{""TEMPORAL-SEGMENTS"":""0""}"
"35_1WXvOTO6","[""VID_20231111_110725.mp4""]",0,0.99,"{""TEMPORAL-SEGMENTS"":""0""}"
"36_AjpuHLYB","[""VID_20231111_110729.mp4""]",0,0.863,"{""TEMPORAL-SEGMENTS"":""0""}"
"37_40WlDJGZ","[""VID_20231111_110734.mp4""]",0,0.91,"{""TEMPORAL-SEGMENTS"":""0""}"
"38_ssXshaJ5","[""VID_20231111_110738.mp4""]",0,1.18,"{""TEMPORAL-SEGMENTS"":""0""}"
"39_d1C8cyxO","[""VID_20231118_123508.mp4""]",0,0.36,"{""TEMPORAL-SEGMENTS"":""1""}"
"39_gO6fwo1q","[""VID_20231118_123508.mp4""]",0.36,1.36,"{""TEMPORAL-SEGMENTS"":""0""}"
"39_cwORF4Tm","[""VID_20231118_123508.mp4""]",1.36,2.94,"{""TEMPORAL-SEGMENTS"":""1""}"
"41_TzXdcW4D","[""VID_20231118_124759.mp4""]",0,0.14,"{""TEMPORAL-SEGMENTS"":""1""}"
"41_mZOur0GI","[""VID_20231118_124759.mp4""]",0.14,1.18,"{""TEMPORAL-SEGMENTS"":""0""}"
"41_CA8E5423","[""VID_20231118_124759.mp4""]",1.18,2.076,"{""TEMPORAL-SEGMENTS"":""1""}"
"42_840bqX2P","[""VID_20231118_124804.mp4""]",0,0.42,"{""TEMPORAL-SEGMENTS"":""1""}"
"42_gINfZI7g","[""VID_20231118_124804.mp4""]",0.42,1.9,"{""TEMPORAL-SEGMENTS"":""0""}"
"42_tE9woboX","[""VID_20231118_124804.mp4""]",1.9,2.816,"{""TEMPORAL-SEGMENTS"":""1""}"
"43_Sg57mnBh","[""VID_20231118_124810.mp4""]",0,0.2,"{""TEMPORAL-SEGMENTS"":""1""}"
"43_JYzGghoX","[""VID_20231118_124810.mp4""]",0.2,1.94,"{""TEMPORAL-SEGMENTS"":""0""}"
"44_2jeX6tTz","[""VID_20231118_124815.mp4""]",0,0.4,"{""TEMPORAL-SEGMENTS"":""1""}"
"44_IFRVY7kI","[""VID_20231118_124815.mp4""]",0.4,2,"{""TEMPORAL-SEGMENTS"":""0""}"
